,Unnamed: 0,country,year,gini_reported,q1,q2,q3,q4,q5,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,bottom5,top5,resource,resource_detailed,scale,scale_detailed,sharing_unit,reference_unit,areacovr,areacovr_detailed,popcovr,popcovr_detailed,region_un,region_un_sub,oecd,incomegroup,mean,median,reference_period,exchangerate,mean_usd,median_usd
46,47,Guinea-Bissau,2010,50.66,4.49,8.3,12.22,18.29,56.7,1.63,2.86,3.73,4.57,5.57,6.65,8.06,10.23,14.7,42.0,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Western Africa,Non-OECD,1,830.16,506.4,Year,495.277021572396,830.0,506.0
58,59,Kenya,2016,40.78,6.15,10.25,14.6,21.47,47.52,2.41,3.74,4.67,5.58,6.65,7.95,9.52,11.95,15.96,31.56,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Eastern Africa,Non-OECD,2,1204.32,878.88,Year,101.504369498594,1204.0,879.0
64,65,Lesotho,2010,54.18,2.84,6.79,11.88,20.28,58.21,0.9,1.94,2.84,3.95,5.15,6.73,8.7,11.58,17.33,40.88,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Southern Africa,Non-OECD,2,908.64,532.92,Year,7.32122196115288,909.0,533.0
65,66,Liberia,2014,33.24,7.75,12.14,16.53,22.28,41.3,3.16,4.59,5.53,6.61,7.75,8.78,10.14,12.14,15.27,26.03,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Western Africa,Non-OECD,1,988.56,815.88,Year,83.8925,989.0,816.0
66,67,Madagascar,2012,42.65,5.73,10.03,14.13,20.7,49.42,2.16,3.57,4.56,5.47,6.48,7.65,9.17,11.53,15.93,33.49,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Eastern Africa,Non-OECD,1,563.28,396.12,Year,2194.96666666667,563.0,396.0
67,68,Malawi,2011,45.2,5.56,9.4,13.49,20.07,51.48,,,,,,,,,,,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Eastern Africa,Non-OECD,1,54568.0,36583.0,Year,156.515451111111,,
70,71,Mali,2010,33.04,7.97,12.08,16.16,22.5,41.3,3.32,4.65,5.57,6.51,7.48,8.68,10.23,12.27,15.62,25.68,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Western Africa,Non-OECD,1,870.48,696.6,Year,495.277021572396,870.0,697.0
71,72,Mauritania,2014,32.62,7.53,12.37,16.89,23.02,40.19,2.98,4.55,5.66,6.71,7.83,9.06,10.58,12.44,15.26,24.93,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Western Africa,Non-OECD,2,2094.84,1760.64,Year,30.2725,2095.0,1761.0
72,73,Mauritius,2012,35.84,7.42,11.75,15.72,21.23,43.88,2.98,4.44,5.39,6.36,7.33,8.39,9.7,11.53,14.84,29.04,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Eastern Africa,Non-OECD,3,4217.88,3313.32,Year,30.0499716666667,4218.0,3313.0
79,80,Mozambique,2015,54.0,4.22,7.64,11.23,17.36,59.53,1.58,2.64,3.42,4.22,5.1,6.13,7.57,9.79,14.05,45.48,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Eastern Africa,Non-OECD,1,965.88,540.12,Year,39.9824741465406,966.0,540.0
83,84,Niger,2014,34.28,7.78,11.8,15.96,22.03,42.42,3.2,4.58,5.43,6.37,7.36,8.6,10.03,12.0,15.4,27.02,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Western Africa,Non-OECD,1,944.4,743.76,Year,,944.0,744.0
84,85,Nigeria,2010,44.7,,,,,,,,,,,,,,,,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Western Africa,Non-OECD,2,,,,150.298025,,
93,94,Rwanda,2014,45.11,5.96,9.65,13.23,18.96,52.19,2.41,3.55,4.4,5.25,6.12,7.11,8.49,10.47,14.26,37.93,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Eastern Africa,Non-OECD,1,961.44,632.16,Year,681.861718947266,961.0,632.0
96,97,Sao Tome and Principe,2010,30.82,8.38,12.74,16.83,22.56,39.49,3.5,4.88,5.87,6.87,7.85,8.98,10.4,12.16,15.31,24.18,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Middle Africa,Non-OECD,2,1043.4,873.36,Year,18.498601323751,1043.0,873.0
97,98,Senegal,2012,40.29,6.06,10.35,14.96,21.7,46.93,2.3,3.76,4.68,5.67,6.85,8.11,9.65,12.05,15.88,31.05,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Western Africa,Non-OECD,1,1151.76,855.48,Year,510.52713590197,1152.0,855.0
99,100,Seychelles,2013,46.82,5.42,9.78,13.33,18.44,53.03,1.9,3.52,4.47,5.31,6.16,7.17,8.39,10.05,13.15,39.88,,,Income (net/gross),"Income, net/gross",Per capita,Per capita,Household,Person,All,All,All,All,Africa,Eastern Africa,Non-OECD,4,8388.6,5542.44,Year,12.058316666666698,8389.0,5542.0
100,101,Sierra Leone,2011,34.03,7.91,11.93,15.82,21.92,42.42,3.26,4.65,5.52,6.41,7.34,8.48,9.89,12.03,15.51,26.91,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Western Africa,Non-OECD,1,851.76,670.56,Year,4349.1621352624,852.0,671.0
103,104,Somalia,2002,39.7,4.1,8.5,13.6,21.6,52.2,1.5,2.6,3.7,4.8,6.1,7.5,9.4,12.2,16.6,35.6,,,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Africa,Eastern Africa,Non-OECD,1,226.0,,Year,,,
104,105,South Sudan,2009,46.34,3.86,8.59,14.2,22.78,50.56,1.25,2.61,3.72,4.87,6.25,7.95,9.99,12.79,17.36,33.2,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Eastern Africa,Non-OECD,1,1179.6,834.96,Year,,1180.0,835.0
105,106,Sudan,2009,35.4,6.82,11.65,16.29,22.87,42.38,2.64,4.18,5.27,6.38,7.5,8.79,10.37,12.5,15.69,26.69,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Northern Africa,Non-OECD,2,1666.68,1345.2,Year,2.3015333333333303,1667.0,1345.0
109,110,Tanzania,2012,37.78,7.37,11.14,14.95,20.72,45.83,3.09,4.28,5.12,6.02,6.95,8.0,9.38,11.34,14.88,30.95,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Eastern Africa,Non-OECD,1,943.2,701.16,Year,1571.69799856913,943.0,701.0
112,113,Togo,2015,43.06,5.04,9.54,14.42,22.41,48.59,1.88,3.16,4.27,5.27,6.51,7.91,9.9,12.51,17.03,31.56,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Western Africa,Non-OECD,1,990.24,702.24,Year,591.449507501328,990.0,702.0
118,119,Uganda,2017,42.75,6.14,9.82,13.82,20.4,49.81,2.52,3.62,4.48,5.34,6.32,7.5,9.05,11.35,15.6,34.21,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Eastern Africa,Non-OECD,1,1165.68,804.0,Year,3611.22445804461,1166.0,804.0
127,128,Zambia,2015,57.14,2.89,6.0,10.57,19.28,61.27,1.02,1.87,2.6,3.4,4.55,6.02,8.12,11.16,16.89,44.38,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Eastern Africa,Non-OECD,2,1090.32,568.56,Year,8.63235596234196,1090.0,569.0
128,129,Zimbabwe,2011,42.3,,,,,,,,,,,,,,,,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Eastern Africa,Non-OECD,1,948.0,662.4,Month,,,
